g000001_RSVAB_ABY_1_A1_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,RSVAB,ABY,1,A1,7500F,96-Well 0.1-mL Block,No Amp,Clean,,Ashish ,2021-08-12 00:00:00,2760,PSL Team,3x LoD,6a02fc150b66375bf69fe412b8825db2,Undetermined
g000001_FluAB_FAM_1_A1_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,FluAB,FAM,1,A1,7500F,96-Well 0.1-mL Block,No Amp,Problem-light,Baseline Issue,Ashish ,2021-08-12 00:00:00,2760,PSL Team,3x LoD,d7201ecf154f9e71a3bf76f113d2e37c,Undetermined
g000001_C19_VIC_1_A1_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,C19,VIC,1,A1,7500F,96-Well 0.1-mL Block,No Amp,Clean,,Ashish ,2021-08-12 00:00:00,2760,PSL Team,3x LoD,ef3dcd975bb87f6a61d79dcd29e08460,Undetermined
g000001_RSVAB_ABY_2_A2_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,RSVAB,ABY,2,A2,7500F,96-Well 0.1-mL Block,No Amp,Clean,,Ashish ,2021-08-12 00:00:00,2761,PSL Team,3x LoD,596bcf17402b4dd65e0734d521b97150,Undetermined
g000001_C19_VIC_2_A2_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,C19,VIC,2,A2,7500F,96-Well 0.1-mL Block,No Amp,Clean,,Ashish ,2021-08-12 00:00:00,2761,PSL Team,3x LoD,e4a60d5e1c7edade0680e8d8f3390bf6,Undetermined
g000001_C19_VIC_3_A3_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,C19,VIC,3,A3,7500F,96-Well 0.1-mL Block,No Amp,Clean,,Ashish ,2021-08-12 00:00:00,2762,PSL Team,3x LoD,832ce872ac7d7b5da200e147f3592c56,Undetermined
g000001_C19_VIC_4_A4_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,C19,VIC,4,A4,7500F,96-Well 0.1-mL Block,No Amp,Clean,,Ashish ,2021-08-12 00:00:00,2763,PSL Team,3x LoD,65396eb2d7aff4043170623cf20fd261,Undetermined
g000001_C19_VIC_5_A5_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,C19,VIC,5,A5,7500F,96-Well 0.1-mL Block,No Amp,Clean,,Ashish ,2021-08-12 00:00:00,2764,PSL Team,3x LoD,4d43cfce58a5c93bf680f65a6c674773,Undetermined
g000001_C19_VIC_6_A6_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,C19,VIC,6,A6,7500F,96-Well 0.1-mL Block,No Amp,Clean,,Ashish ,2021-08-12 00:00:00,2765,PSL Team,3x LoD,605de03cd2b441b19630729e724db829,Undetermined
g000001_C19_VIC_7_A7_7500F,03Aug2021_AG_DDD_FluA_7500_9444,g000001,C19,VIC,7,A7,7500F,96-Well 0.1-mL Block,No Amp,Clean,,Ashish ,2021-08-12 00:00:00,2766,PSL Team,3x LoD,0c5f4d0a1ab712e5c486dbc2ba052aed,Undetermined
